Data1,,,Data2,,,Data3,,,Data4,,,Data5,
Time (s),Spike Value (0/1) ,,Time (s),Spike Value (0/1) ,,Time (s),Spike Value (0/1) ,,Time (s),Spike Value (0/1) ,,Time (s),Spike Value (0/1) 
2.183657154,1,,16.15644177,1,,14.33918249,1,,14.35961694,1,,14.70728645,1
2.254809249,1,,16.34726683,1,,15.21786396,1,,14.70728645,1,,15.37424429,1
2.325961344,1,,16.54405517,1,,15.39155681,1,,15.23943366,1,,15.23233837,1
2.38920765,1,,16.80047634,1,,16.01480762,1,,15.39553018,1,,15.99863035,1
2.48407711,1,,17.15827333,1,,16.18850047,1,,16.00572564,1,,16.0766786,1
2.563134993,1,,17.78441805,1,,17.03653026,1,,16.0766786,1,,16.6230164,1
2.634287088,1,,18.48212217,1,,17.03653026,1,,16.60173052,1,,17.5525002,1
2.721250759,1,,19.81789757,1,,17.6699983,1,,16.77911292,1,,17.5525002,1
2.784497065,1,,0.007871244,0,,17.91521173,1,,17.55959549,1,,16.77201762,1
2.847743372,1,,0.568419851,0,,18.34433524,1,,17.69440612,1,,17.71569201,1
2.90308389,1,,0.81887774,0,,19.67257468,1,,18.21236273,1,,17.90016971,1
2.990047561,1,,1.313830234,0,,19.81561585,1,,18.21236273,1,,18.23364862,1
3.069105444,1,,1.975754654,0,,19.15149613,1,,17.9143603,1,,18.51036517,1
3.132351751,1,,1.975754654,0,,0.024848295,0,,18.52455576,1,,19.51080192,1
3.187692269,1,,2.20235941,0,,0.443754577,0,,19.81589966,1,,18.76579583,1
3.266750152,1,,2.601899375,0,,0.597012973,0,,19.95780558,1,,18.95027353,1
3.329996458,1,,2.882173679,0,,1.628952841,0,,19.46823015,1,,19.80880436,1
3.424865918,1,,3.269787078,0,,1.302001596,0,,0.154834119,0,,0.161929416,0
3.551358531,1,,4.009234177,0,,1.955904086,0,,0.346407115,0,,0.325121226,0
3.59879326,1,,4.402810859,0,,2.231769199,0,,0.970793173,0,,0.935316692,0
3.662039567,1,,4.975286033,0,,2.56893767,0,,1.17655676,0,,1.098508503,0
3.717380085,1,,4.718864861,0,,2.895888915,0,,1.886086372,0,,1.878991076,0
3.796437968,1,,5.130331393,0,,3.243274613,0,,2.098945255,0,,2.098945255,0
3.915024793,1,,5.529871358,0,,3.999349367,0,,2.3827571,0,,2.389852396,0
3.978271099,1,,6.000970719,0,,4.397821197,0,,2.709140721,0,,2.73042661,0
4.081046347,1,,6.483996647,0,,4.704337989,0,,3.049714935,0,,3.042619639,0
4.16010423,1,,7.139957784,0,,4.939334196,0,,3.659910401,0,,3.49671859,0
4.239162113,1,,7.402342239,0,,5.092592593,0,,3.759244546,0,,3.667005697,0
4.310314208,1,,7.485828202,0,,5.491064422,0,,4.170771721,0,,3.780530435,0
4.365654726,1,,8.16564247,0,,5.940622384,0,,5.3060191,0,,4.149485833,0
